count,threads_ms,openmp_ms,openmp_1thread_ms
50,200.0000,99.0000,594.0000
100,398.0000,197.0000,1176.0000
150,595.0000,260.0000,1726.0000
200,794.0000,357.0000,2347.0000
250,989.0000,455.0000,2920.0000
300,1179.0000,537.0000,3485.0000
350,1382.0000,621.0000,4034.0000
400,1569.0000,735.0000,4737.0000
450,1775.0000,820.0000,5256.0000
500,1968.0000,921.0000,5823.0000
550,2176.0000,1017.0000,6362.0000
600,2402.0000,1136.0000,6953.0000
650,2591.0000,1181.0000,7554.0000
700,2762.0000,1251.0000,8333.0000
750,2972.0000,1351.0000,8758.0000
800,3146.0000,1450.0000,9554.0000
850,3358.0000,1547.0000,9864.0000
900,3553.0000,1632.0000,10449.0000
950,3746.0000,1891.0000,11097.0000
1000,3941.0000,1951.0000,11616.0000
