count,baseline_ms,threads_speedup,openmp_speedup
50,594.0000,2.9700,6.0000
100,1176.0000,2.9548,5.9695
150,1726.0000,2.9008,6.6385
200,2347.0000,2.9559,6.5742
250,2920.0000,2.9525,6.4176
300,3485.0000,2.9559,6.4898
350,4034.0000,2.9190,6.4960
400,4737.0000,3.0191,6.4449
450,5256.0000,2.9611,6.4098
500,5823.0000,2.9588,6.3225
550,6362.0000,2.9237,6.2557
600,6953.0000,2.8947,6.1206
650,7554.0000,2.9155,6.3963
700,8333.0000,3.0170,6.6611
750,8758.0000,2.9468,6.4826
800,9554.0000,3.0369,6.5890
850,9864.0000,2.9375,6.3762
900,10449.0000,2.9409,6.4026
950,11097.0000,2.9624,5.8683
1000,11616.0000,2.9475,5.9539
