count,openmp_1_ms,openmp_4_ms,openmp_8_ms,openmp_16_ms
50,735.0000,343.0000,296.0000,276.0000
100,1497.0000,671.0000,601.0000,559.0000
150,2186.0000,994.0000,687.0000,612.0000
200,2884.0000,1284.0000,1161.0000,1035.0000
250,3700.0000,1599.0000,1140.0000,1048.0000
300,4408.0000,2024.0000,1249.0000,1392.0000
350,5044.0000,2296.0000,1482.0000,1448.0000
400,5822.0000,2671.0000,1612.0000,1633.0000
450,6504.0000,2921.0000,2455.0000,2366.0000
500,7014.0000,3245.0000,2891.0000,2457.0000
550,7731.0000,3550.0000,3170.0000,2341.0000
600,8524.0000,3896.0000,3497.0000,3104.0000
650,9130.0000,4203.0000,3738.0000,3421.0000
700,10161.0000,4526.0000,4009.0000,2776.0000
750,10631.0000,4853.0000,4341.0000,3142.0000
800,11501.0000,5198.0000,3464.0000,4219.0000
850,12202.0000,5588.0000,3670.0000,3554.0000
900,13024.0000,5887.0000,5198.0000,3862.0000
950,13341.0000,6266.0000,5510.0000,4106.0000
1000,14423.0000,6541.0000,4630.0000,5302.0000
