count,threads_1_ms,threads_4_ms,threads_8_ms,threads_16_ms
50,658.0000,213.0000,170.0000,208.0000
100,1313.0000,420.0000,352.0000,404.0000
150,1927.0000,624.0000,535.0000,599.0000
200,2595.0000,856.0000,682.0000,812.0000
250,3217.0000,1040.0000,850.0000,1019.0000
300,3869.0000,1241.0000,1031.0000,1201.0000
350,4518.0000,1446.0000,1203.0000,1405.0000
400,5169.0000,1661.0000,1414.0000,1610.0000
450,5829.0000,1856.0000,1543.0000,1829.0000
500,6440.0000,2071.0000,1738.0000,2017.0000
550,7092.0000,2272.0000,1880.0000,2224.0000
600,7761.0000,2490.0000,2027.0000,2424.0000
650,8405.0000,2703.0000,2263.0000,2635.0000
700,9447.0000,3027.0000,2977.0000,3076.0000
750,9878.0000,3167.0000,2653.0000,3086.0000
800,10650.0000,3333.0000,3475.0000,3545.0000
850,11093.0000,3631.0000,2922.0000,3490.0000
900,11708.0000,3927.0000,3412.0000,3711.0000
950,12429.0000,4039.0000,3519.0000,3902.0000
1000,13104.0000,4159.0000,3460.0000,4128.0000
