count,baseline_ms,threads_4_speedup,threads_8_speedup,threads_16_speedup
50,669.0000,3.1262,3.5775,3.2476
100,1321.0000,2.9421,3.2457,2.9819
150,1967.0000,2.9535,3.3114,3.0402
200,2682.0000,3.2120,3.3275,2.9734
250,3256.0000,3.1158,3.8082,3.1766
300,3905.0000,3.1365,3.8322,3.2246
350,4604.0000,3.1534,3.8113,3.2173
400,5208.0000,3.1449,3.7576,3.1853
450,5862.0000,3.1314,3.7505,3.1601
500,6502.0000,3.1441,3.7584,3.2156
550,7159.0000,3.1385,3.6563,3.2089
600,7812.0000,3.1361,3.8200,3.2069
650,8711.0000,3.0007,3.0268,3.2455
700,9344.0000,3.0899,3.7754,3.2132
750,10286.0000,3.2571,3.9245,3.2356
800,10800.0000,3.2326,3.8244,3.2917
850,11035.0000,3.1216,3.6264,3.2088
900,11639.0000,3.0848,3.8161,3.2170
950,12314.0000,3.1445,3.8195,3.1664
1000,12946.0000,3.1240,3.8324,3.2180
