count,threads_ms,openmp_ms,openmp_1thread_ms
50,203.0000,90.0000,593.0000
100,401.0000,181.0000,1184.0000
150,591.0000,267.0000,1752.0000
200,794.0000,353.0000,2324.0000
250,984.0000,438.0000,2905.0000
300,1185.0000,527.0000,3508.0000
350,1388.0000,633.0000,4111.0000
400,1576.0000,713.0000,4634.0000
450,1777.0000,808.0000,5206.0000
500,1977.0000,892.0000,5924.0000
550,2178.0000,1007.0000,6372.0000
600,2375.0000,1078.0000,6954.0000
650,2572.0000,1185.0000,7541.0000
700,2768.0000,1268.0000,8385.0000
750,2964.0000,1356.0000,8807.0000
800,3160.0000,1448.0000,9366.0000
850,3353.0000,1544.0000,10093.0000
900,3548.0000,1627.0000,10528.0000
950,3751.0000,1726.0000,11025.0000
1000,3945.0000,1799.0000,11723.0000
