count,openmp_1_ms,openmp_4_ms,openmp_8_ms,openmp_16_ms
50,605.0000,165.0000,103.0000,94.0000
100,1295.0000,379.0000,265.0000,210.0000
150,1973.0000,672.0000,330.0000,290.0000
200,2427.0000,681.0000,410.0000,403.0000
250,3025.0000,846.0000,535.0000,480.0000
300,3609.0000,1022.0000,605.0000,594.0000
350,4190.0000,1188.0000,731.0000,671.0000
400,4784.0000,1350.0000,819.0000,755.0000
450,5384.0000,1510.0000,922.0000,893.0000
500,6011.0000,1703.0000,1027.0000,943.0000
550,6646.0000,1851.0000,1155.0000,1043.0000
600,7256.0000,2063.0000,1238.0000,1181.0000
650,8108.0000,2268.0000,1660.0000,1320.0000
700,8842.0000,3039.0000,2175.0000,1586.0000
750,9703.0000,2956.0000,1833.0000,1515.0000
800,9678.0000,2808.0000,1882.0000,1625.0000
850,10247.0000,2896.0000,1722.0000,1653.0000
900,10696.0000,3007.0000,1889.0000,1720.0000
950,11303.0000,3183.0000,1947.0000,1826.0000
1000,11954.0000,3327.0000,2449.0000,1949.0000
