count,threads_1_ms,threads_4_ms,threads_8_ms,threads_16_ms
50,669.0000,214.0000,187.0000,206.0000
100,1321.0000,449.0000,407.0000,443.0000
150,1967.0000,666.0000,594.0000,647.0000
200,2682.0000,835.0000,806.0000,902.0000
250,3256.0000,1045.0000,855.0000,1025.0000
300,3905.0000,1245.0000,1019.0000,1211.0000
350,4604.0000,1460.0000,1208.0000,1431.0000
400,5208.0000,1656.0000,1386.0000,1635.0000
450,5862.0000,1872.0000,1563.0000,1855.0000
500,6502.0000,2068.0000,1730.0000,2022.0000
550,7159.0000,2281.0000,1958.0000,2231.0000
600,7812.0000,2491.0000,2045.0000,2436.0000
650,8711.0000,2903.0000,2878.0000,2684.0000
700,9344.0000,3024.0000,2475.0000,2908.0000
750,10286.0000,3158.0000,2621.0000,3179.0000
800,10800.0000,3341.0000,2824.0000,3281.0000
850,11035.0000,3535.0000,3043.0000,3439.0000
900,11639.0000,3773.0000,3050.0000,3618.0000
950,12314.0000,3916.0000,3224.0000,3889.0000
1000,12946.0000,4144.0000,3378.0000,4023.0000
